Mnemonic,Name,Old ID,Active,Type,Category,MFLCode
XKGSOIN,Kgosing Clinic,05-3-05,Y,O,Remote,6675b20178fc5428625b3476
XMOGOKHP,Magokotswane H Post,05-4-20,Y,O,Remote,6675b20178fc5428625b3477
XMAFHIC,Mafhikana Clinic,06-3-04,Y,O,Remote,6675b20178fc5428625b3478
XKGWATC,Kgwatlheng Clinic,06-3-02,Y,O,Remote,6675b20178fc5428625b3479
XLOTLHC,Lotlhakane East Clinic,6-3-3,Y,O,Remote,6675b20178fc5428625b347a
XKANYMC,Kanye Main Clinic,06-3-01,Y,O,Remote,6675b20178fc5428625b347b
XMOSHCC,Moshupa Council Clinic,06-3-07,Y,O,Remote,6675b20178fc5428625b347c
XMOSHUSDAC,Moshupa SDA Clinic,,Y,O,Remote,6675b20178fc5428625b347d
XNTLHAC,Ntlhantlhe Clinic,06-3-09,Y,O,Remote,6675b20178fc5428625b347e
XPITSEC,Pitseng Clinic,06-3-10,Y,O,Remote,6675b20178fc5428625b347f
XRANAKAC,Ranaka Clinic,06-03-11,Y,O,Remote,6675b20178fc5428625b3480
XDADAC,Joosub Dada Clinic,,Y,O,Remote,6675b20178fc5428625b3481
XMMAMOC,Mmamokhasi Clinic,06-3-14,Y,O,Remote,6675b20178fc5428625b3482
XDIABOHP,Diabo Health Post,06-4-01,Y,O,Remote,6675b20178fc5428625b3483
XGASITHP,Gasita Health Post,06-4-02,Y,O,Remote,6675b20178fc5428625b3484
XRALHP,Ralekgetho Health Post,06-4-09,Y,O,Remote,6675b20178fc5428625b3485
XKGOMOKHP,Kgomokasitwa H Post,06-4-04,Y,O,Remote,6675b20178fc5428625b3486
XMAGOTH,Magotlhwane Hospital,,Y,O,Remote,6675b20178fc5428625b3487
XLEKGOHP,Lekgolobotlo H Post,06-4-05,Y,O,Remote,6675b20178fc5428625b3488
XLOBATPC,Lobatse Prison Clinic,18-3-01,Y,O,Remote,6675b20178fc5428625b3489
XLOTLHP,Lotlhakane W H Post,06-4-06,Y,O,Remote,6675b20178fc5428625b348a
XBMCIC,BMC I Clinic,18-3-01,Y,O,Remote,6675b20178fc5428625b348b
XMOSHAHP,Moshaneng Health Post,06-4-07,Y,O,Remote,6675b20178fc5428625b348c
XLOTHECL,Letlhakane Clininc,13-3-01,Y,O,Remote,6675b20178fc5428625b348d
XMOSHUHP,Moshupa Health Post,06-4-08,Y,O,Remote,6675b20178fc5428625b348e
XSEBHP,Sebego Health Post,06-4-11,Y,O,Remote,6675b20178fc5428625b348f
XSELOKHP,Selokolela H Post,06-4-12,Y,O,Remote,6675b20178fc5428625b3490
XSESE,Sese Health Post,06-4-13,Y,O,Remote,6675b20178fc5428625b3491
XTSHWAANHP,Tshwaane Health Post,06-4-16,Y,O,Remote,6675b20178fc5428625b3492
XMOGOTLHP,Mogotlhwane H Post,06-4-18,Y,O,Remote,6675b20178fc5428625b3493
XDILOLHP,Dilolwe Health Post,06-4-19,Y,O,Remote,6675b20178fc5428625b3494
XMOGONHP,Mogonye Health Post,06-4-20,Y,O,Remote,6675b20178fc5428625b3495
XSEHERHP,Seherelela H Post,06-4-22,Y,O,Remote,6675b20178fc5428625b3496
XMOCDRH,Mochudi Deborah Retief Hosp,9-,Y,O,Remote,6675b20178fc5428625b3497
XDEBORH,Deborah Retief Hospital,9-1-1,N,O,Remote,6675b20178fc5428625b3498
XARTEC,Artesia Clinic,09-3-01,Y,O,Remote,6675b20178fc5428625b3499
XMMATHC,Mmathubudukwane Clinic,09-3-3,Y,O,Remote,6675b20178fc5428625b349a
XOODICL,Oodi Clinic,09-3-07,Y,O,Remote,6675b20178fc5428625b349b
XMORWAC,Morwa Clinic,09-3-11,Y,O,Remote,6675b20178fc5428625b349c
XMAKAKC,Makakatlela Clinic,09-3-09,Y,O,Remote,6675b20178fc5428625b349d
XMOCHIIC,Mochudi II Clinic,09-3-05,Y,O,Remote,6675b20178fc5428625b349e
XOLIPHC,Oliphants Drift Clinic,09-3-6,Y,O,Remote,6675b20178fc5428625b349f
BOJEIC,Bojesa I Clinic,09-3-08,N,O,Local,6675b20178fc5428625b34a0
XPHAPC,Phaphane Clinic,09-3-10,Y,O,Remote,6675b20178fc5428625b34a1
XBOSEIIC,Boseja II Clinic,09-3-12,Y,O,Remote,6675b20178fc5428625b34a2
XBODUNHP,Bodungwane H Post,09-4-01,Y,O,Remote,6675b20178fc5428625b34a3
XRAMONHP,Ramonaka Health Post,09-4-02,Y,O,Remote,6675b20178fc5428625b34a4
XDIKGOHP,Dikgonnye Health Post,09-4-03,Y,O,Remote,6675b20178fc5428625b34a5
XDIKWHP,Dikwididi Health Post,09-4-04,Y,O,Remote,6675b20178fc5428625b34a6
XKGOMOHP,Kgomodiatshaba H Post,09-4-05,Y,O,Remote,6675b20178fc5428625b34a7
XKHURUHP,Khurutshe Health Post,09-4-06,Y,O,Remote,6675b20178fc5428625b34a8
XLESHHP,Leshibitse Health Post,09-4-07,Y,O,Remote,6675b20178fc5428625b34a9
XMALOHP,Malolwane Health Post,09-4-08,Y,O,Remote,6675b20178fc5428625b34aa
XMALOTHP,Malotwana Health Post,09-4-09,Y,O,Remote,6675b20178fc5428625b34ab
XMATEBHP,Matebele Health Post,09-4-10,Y,O,Remote,6675b20178fc5428625b34ac
XMAKOPH,Makopane Hospital,,Y,O,Remote,6675b20178fc5428625b34ad
XMODIHP,Modipane Health Post,09-4-11,Y,O,Remote,6675b20178fc5428625b34ae
XMORHP,Morwa H Post,,Y,O,Remote,6675b20178fc5428625b34af
XMORWAHP,Morwa Health Post,09-4-12,Y,O,Remote,6675b20178fc5428625b34b0
XPILANHP,Pilane Health Post,09-4-13,Y,O,Remote,6675b20178fc5428625b34b1
XRASHP,Rasesa Health Post,09-4-15,Y,O,Remote,6675b20178fc5428625b34b2
XSIKWHP,Sikwane Health Post,09-4-16,Y,O,Remote,6675b20178fc5428625b34b3
XMAKGOHP,Makgophana H Post,09-4-18,Y,O,Remote,6675b20178fc5428625b34b4
XMOCHPRHP,Mochudi Prisons HP,09-4-17,Y,O,Remote,6675b20178fc5428625b34b5
XRAMBLH,Ramotswa Bamalete Luth Hosp,17,Y,O,Remote,6675b20178fc5428625b34b6
XMOGOBC,Mogobane Clinic,17-3-01,Y,O,Remote,6675b20178fc5428625b34b7
XLESETC,Lesetlhana Clinic,17-3-08,Y,O,Remote,6675b20178fc5428625b34b8
XTAUNCL,Taung Clinic,17-3-03,Y,O,Remote,6675b20178fc5428625b34b9
XRAMSTC,Ramotswa Station Clinic,17-3-3,Y,O,Remote,6675b20178fc5428625b34ba
XOTSECL,Otse Clinic,17-3-02,Y,O,Remote,6675b20178fc5428625b34bb
XSIGAC,Siga Clinic,17-3-04,Y,O,Remote,6675b20178fc5428625b34bc
XPOLIC,Police Clinic-Otse,17-3-09,Y,O,Remote,6675b20178fc5428625b34bd
XMETSIHP,Metsimaswaane H Post,17-4-03,Y,O,Remote,6675b20178fc5428625b34be
XMOGOBHP,Mogobane Health Post,17-4-04,Y,O,Remote,6675b20178fc5428625b34bf
XTSABOPH,Tsabong Primary Hosp,11-2-01,Y,O,Remote,6675b20178fc5428625b34c0
XBOKSC,Bokspits Clinic,11-3-01,Y,O,Remote,6675b20178fc5428625b34c1
XHEREFC,Hereford Clinic,11-3-02,Y,O,Remote,6675b20178fc5428625b34c2
XMIDDLC,Middlepits Clinic,11-3-03,Y,O,Remote,6675b20178fc5428625b34c3
XMAKOPC,Makopong Clinic,11-3-04,Y,O,Remote,6675b20178fc5428625b34c4
XKHUIHP,Khuis Health Post,11-4-04,Y,O,Remote,6675b20178fc5428625b34c5
XTSABOC,Tsabong Clinic,11-3-06,Y,O,Remote,6675b20178fc5428625b34c6
XKOLONHP,Kolonkwaneng Health Post,11-04,Y,O,Remote,6675b20178fc5428625b34c7
XVERDAC,Verda Clinic,11-3-05,Y,O,Remote,6675b20178fc5428625b34c8
XWERDAC,Werda Clinic,11-3-05,Y,O,Remote,6675b20178fc5428625b34c9
XVAALHP,Vaalhoek Health Post,11-4-16,Y,O,Remote,6675b20178fc5428625b34ca
XOMAWEHP,Omaweneno Helath Post,11-4-05,Y,O,Remote,6675b20178fc5428625b34cb
XGAKHIHP,Gakhibane Health Post,11-4-01,Y,O,Remote,6675b20178fc5428625b34cc
XSTRUIHP,Struizendam H Post,11-4-08,Y,O,Remote,6675b20178fc5428625b34cd
XDRIEHHP,Draiehoek Health Post,11-4-09,Y,O,Remote,6675b20178fc5428625b34ce
XMAUBHP,Maubelo Health Post,11-4-10,Y,O,Remote,6675b20178fc5428625b34cf
XMARAHP,Maralaleng Health Post,11-4-11,Y,O,Remote,6675b20178fc5428625b34d0
XKHAWHP,Khawa Health Post,11-4-12,Y,O,Remote,6675b20178fc5428625b34d1
XKOKOTHP,Kokotsha Health Post,11-4-13,Y,O,Remote,6675b20178fc5428625b34d2
XMALEHP,Maleshe Health Post,11-4-14,Y,O,Remote,6675b20178fc5428625b34d3
XBOGOHP,Bogogobo Health Post,11-4-15,Y,O,Remote,6675b20178fc5428625b34d4
XJWANMH,Jwaneng Mine Hospital,22-1-01,Y,O,Remote,6675b20178fc5428625b34d5
XJWATCC,Jwaneng Town Council Clinic,22,Y,O,Remote,6675b20178fc5428625b34d6
XMABUTC,Mabutsane Clinic,21-3-02,Y,O,Remote,6675b20178fc5428625b34d7
XKHAKHC,Khakhea Clinic,21-3-01,Y,O,Remote,6675b20178fc5428625b34d8
XDITSWC,Ditsweletse Clinic,22-3-04,Y,O,Remote,6675b20178fc5428625b34d9
XTSHIMC,Tshimologo Clinic,22-3-03,Y,O,Remote,6675b20178fc5428625b34da
XMAOKAC,Maokane Clinic,06-3-13,Y,O,Remote,6675b20178fc5428625b34db
XSAMAHP,Samane Health Post,06-4-10,Y,O,Remote,6675b20178fc5428625b34dc
XTHANHP,Thankane Health Post,06-4-15,Y,O,Remote,6675b20178fc5428625b34dd
XMOKHHP,Mokhomma Health Post,06-4-21,Y,O,Remote,6675b20178fc5428625b34de
XMORWC,Morwamusu Clinic,21-3-03,Y,O,Remote,6675b20178fc5428625b34df
XKENGHP,Keng Health Post,21-4-01,Y,O,Remote,6675b20178fc5428625b34e0
XKHONHP,Khonkhwa Health Post,21-4-02,Y,O,Remote,6675b20178fc5428625b34e1
XKOKOHP,Kokong Health Post,21-4-03,Y,O,Remote,6675b20178fc5428625b34e2
XITHOLHP,Itholoke Health Post,21-4-04,Y,O,Remote,6675b20178fc5428625b34e3
XTSONYHP,Tsonyane Health Post,06-4-17,Y,O,Remote,6675b20178fc5428625b34e4
XMAHOHP,Mahotshwane Health Post,21-4-5,Y,O,Remote,6675b20178fc5428625b34e5
XSEKOHP,Sekoma Health Post,21-4-06,Y,O,Remote,6675b20178fc5428625b34e6
GGCJULLAB,GGC Julia Molefe Clinic BLK,9,Y,I,Local,6675b20178fc5428625b34e7
GGCLESLAB,GGC Lesirane Laboratory,,Y,I,Local,6675b20178fc5428625b34e8
GGCNKALAB,GGC Nkaikela Laboratory,,Y,I,Local,6675b20178fc5428625b34e9
XLETLPH,Letlhakane Primary Hosp,13-2-2,Y,O,Remote,6675b20178fc5428625b34ea
XLETLHC,Letlhakane Clinc,13-3-01,Y,O,Remote,6675b20178fc5428625b34eb
XTAWANC,Tawana Clinic,13-3-09,Y,O,Remote,6675b20178fc5428625b34ec
XKHUMAC,Khumaga Health Post,13-4-02,Y,O,Remote,6675b20178fc5428625b34ed
XMOKIBC,Mokubilo Health Post,13-4-11,Y,O,Remote,6675b20178fc5428625b34ee
XXHUMOC,Xhumo Clinic,13-3-08,Y,O,Remote,6675b20178fc5428625b34ef
XMMATSC,Mmatshumo Clinic,13-3-12,Y,O,Remote,6675b20178fc5428625b34f0
XRAKOPH,Rakops Primary Hosp,13-2-01,Y,O,Remote,6675b20178fc5428625b34f1
XMOPIPC,Mopipi Clinic,13-3-02,Y,O,Remote,6675b20178fc5428625b34f2
XMOTOC,Motopi Clinic,13-3-03,Y,O,Remote,6675b20178fc5428625b34f3
XKEDIAHP,Kedia Health Post,13-4-01,Y,O,Remote,6675b20178fc5428625b34f4
XRAKOPC,Rakops Health Post,13-4-03,Y,O,Remote,6675b20178fc5428625b34f5
XRAILHP,Railways Health Post,NY,Y,O,Remote,6675b20178fc5428625b34f6
XMMADIHP,Mmadikola Health Post,13-4-04,Y,O,Remote,6675b20178fc5428625b34f7
XKWEEHP,Kwee Health Post,13-4-05,Y,O,Remote,6675b20178fc5428625b34f8
XMOREHP,Moreomaoto Health Post,13-4-06,Y,O,Remote,6675b20178fc5428625b34f9
XMOSUHP,Mosu Health Post,13-4-07,Y,O,Remote,6675b20178fc5428625b34fa
XMOKOHP,Makoboxane Health Post,13-4-8,Y,O,Remote,6675b20178fc5428625b34fb
XTOROHP,Toromoja Health Post,13-4-09,Y,O,Remote,6675b20178fc5428625b34fc
XMMEYAHP,Mmeya Health Post,13-4-10,Y,O,Remote,6675b20178fc5428625b34fd
XXEREHP,Xere Health Post,13-4-12,Y,O,Remote,6675b20178fc5428625b34fe
XMASAC,Orapa Masa Clinic,13-3-13,Y,O,Remote,6675b20178fc5428625b34ff
XPALAPH,Palapye Primary Hospital,3-2-1,Y,O,Remote,6675b20178fc5428625b3500
XLOTSAC,Lotsane Clinic,03-3-13,Y,O,Remote,6675b20178fc5428625b3501
XKEDIRC,Kediretswe Clinic,03-3-19,Y,O,Remote,6675b20178fc5428625b3502
XKHURUC,Khurumela Clinic,03-3-22,Y,O,Remote,6675b20178fc5428625b3503
XMORUPC,Morupule Colliary Clinic,3-3-6,Y,O,Remote,6675b20178fc5428625b3504
XLECHC,Lecheng Clinic,03-3-16,Y,O,Remote,6675b20178fc5428625b3505
XGOOTHP,Gootau Health Post,03-4-01,Y,O,Remote,6675b20178fc5428625b3506
XGOOSHP,Goosekgweng H Post,03-4-03,Y,O,Remote,6675b20178fc5428625b3507
XMALAHP,Malaka Health Post,03-4-08,Y,O,Remote,6675b20178fc5428625b3508
XMANAHP,Manaledi Health Post,03-4-09,Y,O,Remote,6675b20178fc5428625b3509
