Mnemonic,Name,Old ID,Active,Type,Category
XMMAKHP,Mmakgori Health Post,23-4-11,Y,O,Remote
XMOGOJHP,Mogojogojwe H Post,23-4-12,Y,O,Remote
XMOKATHP,Mokatako Health Post,,Y,O,Remote
XMOKGOMAHP,Mokgomane Health Post,23-4-14,Y,O,Remote
XKGOROHP,Kgoro H Post,,Y,O,Remote
XSHEEPHP,Sheepfarm H Post,,Y,O,Remote
XRAKHUHP,Rakhuna Health Post,23-4-17,Y,O,Remote
XRAKMILCC,Rakhuna Military Clinic,,Y,O,Remote
XPAPATHP,Papatlo H Post,,Y,O,Remote
XSEKHUHP,Sekhutlane Health Post,23-4-21,Y,O,Remote
XTLHARESHP,TLHARESELEELE H POST,,Y,O,Remote
XSEDIBHP,Sedibeng H Post,,Y,O,Remote
XPHIHEHP,Phihetswane H Post,,Y,O,Remote
XSEGWAHP,Segwagwa H Post,,Y,O,Remote
XGAMAJHP,Gamajaalela H Post,23-4-,Y,O,Remote
XMETLOHP,Metlojane H Post,23-4-26,Y,O,Remote
XTHAMPH,Thamaga Primary Hospital,5-2-1,Y,O,Remote
XMMANKC,Mmankgodi Clinic,05-3-10,Y,O,Remote
XTHAMAC,Thamaga Clinic,05-3-20,Y,O,Remote
XMANYAC,Manyana Clinic,06-03-05,Y,O,Remote
XGAKGHP,Gakgatla Health Post,05-4-02,Y,O,Remote
XKUBANHP,Kubung Health Post,05-4-07,Y,O,Remote
XKUMAKC,Kumakwane Health Post,05-4-08,Y,O,Remote
XPHUTIC,Phuting Health Post,05-4-13,Y,O,Remote
XRUNGHP,Rungwana Health Post,05-4-24,Y,O,Remote
XLOBATH,Lobatse Athlone Hosp,18-1-02,Y,O,Remote
XMENTAH,Mental Referal Hosp,18-1-02,Y,O,Remote
XTSOPEC,Tsopeng Clinic,18-3-07,Y,O,Remote
XPELCEC,Peleng Central Clinic,18-3-03,Y,O,Remote
XPELEAC,Peleng East Clinic,18-3-04,Y,O,Remote
XWOODHC,Woodhall Clinic,18-3-05,Y,O,Remote
XATHOLON,Athlone Hospital,,N,O,Remote
XMOLAPC,Molapowabojang Clinic,06-3-06,Y,O,Remote
XMOTSWC,Motswedi Clinic,13-3-08,Y,O,Remote
XKGSOIN,Kgosing Clinic,05-3-05,Y,O,Remote
XMOGOKHP,Magokotswane H Post,05-4-20,Y,O,Remote
XMAFHIC,Mafhikana Clinic,06-3-04,Y,O,Remote
XKGWATC,Kgwatlheng Clinic,06-3-02,Y,O,Remote
XLOTLHC,Lotlhakane East Clinic,6-3-3,Y,O,Remote
XKANYMC,Kanye Main Clinic,06-3-01,Y,O,Remote
XMOSHCC,Moshupa Council Clinic,06-3-07,Y,O,Remote
XMOSHUSDAC,Moshupa SDA Clinic,,Y,O,Remote
XNTLHAC,Ntlhantlhe Clinic,06-3-09,Y,O,Remote
XPITSEC,Pitseng Clinic,06-3-10,Y,O,Remote
XRANAKAC,Ranaka Clinic,06-03-11,Y,O,Remote
XDADAC,Joosub Dada Clinic,,Y,O,Remote
XMMAMOC,Mmamokhasi Clinic,06-3-14,Y,O,Remote
XDIABOHP,Diabo Health Post,06-4-01,Y,O,Remote
XGASITHP,Gasita Health Post,06-4-02,Y,O,Remote
XRALHP,Ralekgetho Health Post,06-4-09,Y,O,Remote
XKGOMOKHP,Kgomokasitwa H Post,06-4-04,Y,O,Remote
XMAGOTH,Magotlhwane Hospital,,Y,O,Remote
XLEKGOHP,Lekgolobotlo H Post,06-4-05,Y,O,Remote
XLOBATPC,Lobatse Prison Clinic,18-3-01,Y,O,Remote
XLOTLHP,Lotlhakane W H Post,06-4-06,Y,O,Remote
XBMCIC,BMC I Clinic,18-3-01,Y,O,Remote
XMOSHAHP,Moshaneng Health Post,06-4-07,Y,O,Remote
XLOTHECL,Letlhakane Clininc,13-3-01,Y,O,Remote
XMOSHUHP,Moshupa Health Post,06-4-08,Y,O,Remote
XSEBHP,Sebego Health Post,06-4-11,Y,O,Remote
XSELOKHP,Selokolela H Post,06-4-12,Y,O,Remote
XSESE,Sese Health Post,06-4-13,Y,O,Remote
XTSHWAANHP,Tshwaane Health Post,06-4-16,Y,O,Remote
XMOGOTLHP,Mogotlhwane H Post,06-4-18,Y,O,Remote
XDILOLHP,Dilolwe Health Post,06-4-19,Y,O,Remote
XMOGONHP,Mogonye Health Post,06-4-20,Y,O,Remote
XSEHERHP,Seherelela H Post,06-4-22,Y,O,Remote
XMOCDRH,Mochudi Deborah Retief Hosp,9-,Y,O,Remote
XDEBORH,Deborah Retief Hospital,9-1-1,N,O,Remote
XARTEC,Artesia Clinic,09-3-01,Y,O,Remote
XMMATHC,Mmathubudukwane Clinic,09-3-3,Y,O,Remote
XOODICL,Oodi Clinic,09-3-07,Y,O,Remote
XMORWAC,Morwa Clinic,09-3-11,Y,O,Remote
XMAKAKC,Makakatlela Clinic,09-3-09,Y,O,Remote
XMOCHIIC,Mochudi II Clinic,09-3-05,Y,O,Remote
XOLIPHC,Oliphants Drift Clinic,09-3-6,Y,O,Remote
BOJEIC,Bojesa I Clinic,09-3-08,N,O,Local
XPHAPC,Phaphane Clinic,09-3-10,Y,O,Remote
XBOSEIIC,Boseja II Clinic,09-3-12,Y,O,Remote
XBODUNHP,Bodungwane H Post,09-4-01,Y,O,Remote
XRAMONHP,Ramonaka Health Post,09-4-02,Y,O,Remote
XDIKGOHP,Dikgonnye Health Post,09-4-03,Y,O,Remote
XDIKWHP,Dikwididi Health Post,09-4-04,Y,O,Remote
XKGOMOHP,Kgomodiatshaba H Post,09-4-05,Y,O,Remote
XKHURUHP,Khurutshe Health Post,09-4-06,Y,O,Remote
XLESHHP,Leshibitse Health Post,09-4-07,Y,O,Remote
XMALOHP,Malolwane Health Post,09-4-08,Y,O,Remote
XMALOTHP,Malotwana Health Post,09-4-09,Y,O,Remote
XMATEBHP,Matebele Health Post,09-4-10,Y,O,Remote
XMAKOPH,Makopane Hospital,,Y,O,Remote
XMODIHP,Modipane Health Post,09-4-11,Y,O,Remote
XMORHP,Morwa H Post,,Y,O,Remote
XMORWAHP,Morwa Health Post,09-4-12,Y,O,Remote
XPILANHP,Pilane Health Post,09-4-13,Y,O,Remote
XRASHP,Rasesa Health Post,09-4-15,Y,O,Remote
XSIKWHP,Sikwane Health Post,09-4-16,Y,O,Remote
XMAKGOHP,Makgophana H Post,09-4-18,Y,O,Remote
XMOCHPRHP,Mochudi Prisons HP,09-4-17,Y,O,Remote
XRAMBLH,Ramotswa Bamalete Luth Hosp,17,Y,O,Remote
XMOGOBC,Mogobane Clinic,17-3-01,Y,O,Remote
XLESETC,Lesetlhana Clinic,17-3-08,Y,O,Remote
XTAUNCL,Taung Clinic,17-3-03,Y,O,Remote
XRAMSTC,Ramotswa Station Clinic,17-3-3,Y,O,Remote
XOTSECL,Otse Clinic,17-3-02,Y,O,Remote
XSIGAC,Siga Clinic,17-3-04,Y,O,Remote
XPOLIC,Police Clinic-Otse,17-3-09,Y,O,Remote
XMETSIHP,Metsimaswaane H Post,17-4-03,Y,O,Remote
XMOGOBHP,Mogobane Health Post,17-4-04,Y,O,Remote
XTSABOPH,Tsabong Primary Hosp,11-2-01,Y,O,Remote
XBOKSC,Bokspits Clinic,11-3-01,Y,O,Remote
XHEREFC,Hereford Clinic,11-3-02,Y,O,Remote
XMIDDLC,Middlepits Clinic,11-3-03,Y,O,Remote
XMAKOPC,Makopong Clinic,11-3-04,Y,O,Remote
XKHUIHP,Khuis Health Post,11-4-04,Y,O,Remote
XTSABOC,Tsabong Clinic,11-3-06,Y,O,Remote
XKOLONHP,Kolonkwaneng Health Post,11-04,Y,O,Remote
XVERDAC,Verda Clinic,11-3-05,Y,O,Remote
XWERDAC,Werda Clinic,11-3-05,Y,O,Remote
XVAALHP,Vaalhoek Health Post,11-4-16,Y,O,Remote
XOMAWEHP,Omaweneno Helath Post,11-4-05,Y,O,Remote
XGAKHIHP,Gakhibane Health Post,11-4-01,Y,O,Remote
XSTRUIHP,Struizendam H Post,11-4-08,Y,O,Remote
XDRIEHHP,Draiehoek Health Post,11-4-09,Y,O,Remote
XMAUBHP,Maubelo Health Post,11-4-10,Y,O,Remote
XMARAHP,Maralaleng Health Post,11-4-11,Y,O,Remote
XKHAWHP,Khawa Health Post,11-4-12,Y,O,Remote
XKOKOTHP,Kokotsha Health Post,11-4-13,Y,O,Remote
XMALEHP,Maleshe Health Post,11-4-14,Y,O,Remote
XBOGOHP,Bogogobo Health Post,11-4-15,Y,O,Remote
XJWANMH,Jwaneng Mine Hospital,22-1-01,Y,O,Remote
XJWATCC,Jwaneng Town Council Clinic,22,Y,O,Remote
XMABUTC,Mabutsane Clinic,21-3-02,Y,O,Remote
XKHAKHC,Khakhea Clinic,21-3-01,Y,O,Remote
XDITSWC,Ditsweletse Clinic,22-3-04,Y,O,Remote
XTSHIMC,Tshimologo Clinic,22-3-03,Y,O,Remote
XMAOKAC,Maokane Clinic,06-3-13,Y,O,Remote
XSAMAHP,Samane Health Post,06-4-10,Y,O,Remote
XTHANHP,Thankane Health Post,06-4-15,Y,O,Remote
XMOKHHP,Mokhomma Health Post,06-4-21,Y,O,Remote
XMORWC,Morwamusu Clinic,21-3-03,Y,O,Remote
XKENGHP,Keng Health Post,21-4-01,Y,O,Remote
XKHONHP,Khonkhwa Health Post,21-4-02,Y,O,Remote
XKOKOHP,Kokong Health Post,21-4-03,Y,O,Remote
XITHOLHP,Itholoke Health Post,21-4-04,Y,O,Remote
XTSONYHP,Tsonyane Health Post,06-4-17,Y,O,Remote
XMAHOHP,Mahotshwane Health Post,21-4-5,Y,O,Remote
XSEKOHP,Sekoma Health Post,21-4-06,Y,O,Remote
GGCJULLAB,GGC Julia Molefe Clinic BLK,9,Y,I,Local
GGCLESLAB,GGC Lesirane Laboratory,,Y,I,Local
GGCNKALAB,GGC Nkaikela Laboratory,,Y,I,Local
XLETLPH,Letlhakane Primary Hosp,13-2-2,Y,O,Remote
XLETLHC,Letlhakane Clinc,13-3-01,Y,O,Remote
XTAWANC,Tawana Clinic,13-3-09,Y,O,Remote
XKHUMAC,Khumaga Health Post,13-4-02,Y,O,Remote
XMOKIBC,Mokubilo Health Post,13-4-11,Y,O,Remote
XXHUMOC,Xhumo Clinic,13-3-08,Y,O,Remote
XMMATSC,Mmatshumo Clinic,13-3-12,Y,O,Remote
XRAKOPH,Rakops Primary Hosp,13-2-01,Y,O,Remote
XMOPIPC,Mopipi Clinic,13-3-02,Y,O,Remote
XMOTOC,Motopi Clinic,13-3-03,Y,O,Remote
XKEDIAHP,Kedia Health Post,13-4-01,Y,O,Remote
XRAKOPC,Rakops Health Post,13-4-03,Y,O,Remote
XRAILHP,Railways Health Post,NY,Y,O,Remote
XMMADIHP,Mmadikola Health Post,13-4-04,Y,O,Remote
XKWEEHP,Kwee Health Post,13-4-05,Y,O,Remote
XMOREHP,Moreomaoto Health Post,13-4-06,Y,O,Remote
XMOSUHP,Mosu Health Post,13-4-07,Y,O,Remote
XMOKOHP,Makoboxane Health Post,13-4-8,Y,O,Remote
XTOROHP,Toromoja Health Post,13-4-09,Y,O,Remote
XMMEYAHP,Mmeya Health Post,13-4-10,Y,O,Remote
XXEREHP,Xere Health Post,13-4-12,Y,O,Remote
XMASAC,Orapa Masa Clinic,13-3-13,Y,O,Remote
XPALAPH,Palapye Primary Hospital,3-2-1,Y,O,Remote
XLOTSAC,Lotsane Clinic,03-3-13,Y,O,Remote
XKEDIRC,Kediretswe Clinic,03-3-19,Y,O,Remote
XKHURUC,Khurumela Clinic,03-3-22,Y,O,Remote
XMORUPC,Morupule Colliary Clinic,3-3-6,Y,O,Remote
XLECHC,Lecheng Clinic,03-3-16,Y,O,Remote
XGOOTHP,Gootau Health Post,03-4-01,Y,O,Remote
XGOOSHP,Goosekgweng H Post,03-4-03,Y,O,Remote
XMALAHP,Malaka Health Post,03-4-08,Y,O,Remote
XMANAHP,Manaledi Health Post,03-4-09,Y,O,Remote
XMATHP,Matlhakola H Post,03-4-10,Y,O,Remote
XMOKUHP,Mokungwana Health Post,03-4-12,Y,O,Remote
XMOENGHP,Moeng College HP,03-4-06,Y,O,Remote
XTOPIHP,Topisi Health Post,03-4-18,Y,O,Remote
XMOREOMHP,Moreomabele H Post,03-4-05,Y,O,Remote
XMOREMHP,Moremi Health Post,03-4-22,Y,O,Remote
XLERAC,Lerala Clinic,03-3-03,Y,O,Remote
XMAJWHP,Majwaneng Health Post,03-4-07,Y,O,Remote
XRATHHP,Ratholo Health Post,03-4-14,Y,O,Remote
XMAOKC,Maokatumo Clinic,03-3-10,Y,O,Remote
XTAMAHP,Tamasane Health Post,03-4-16,Y,O,Remote
XDILOHP,Diloro Health Post,03-4-29,Y,O,Remote
XMOGAHP,Mogapinyana H Post,03-4-,Y,O,Remote
XMAUNAHP,Maunatlala Clinic,03-3-04,Y,O,Remote
XSEOLWHP,Seolwane Health Post,03-4-15,Y,O,Remote
XMOKOKHP,Mokokwana-mosweu H P,03-4-22,Y,O,Remote
XMATOLHP,Matolwana Health Post,03-4-,Y,O,Remote
XRADIC,Radisele Clinic,03-3-15,Y,O,Remote
XMADIHP,Madiaela Health Post,03-4-20,Y,O,Remote
XMOGOHP,Mogome Health Post,03-4-23,Y,O,Remote
XMOKHP,Mokgware Health Post,03-4-24,Y,O,Remote
XSELPGH,Selibe Phikwe Gov Hosp,19-1-02,Y,O,Remote
XLEPHP,Lepokole Health Post,04-4-02,Y,O,Remote
XMABHP,Mabolwe Health Post,04-4-14,Y,O,Remote
XPRISMAC,Mahalapye Prisons Clinic,8-3-3,Y,O,Remote
XTSOKOHP,Tsokatshaa Health Post,12-4-12,Y,O,Remote
XMANTSHW,Mantshwabisi Health Post 20-,4-,Y,O,Remote
XORAPAH,Orapa Mine Hospital,13-1-01,Y,O,Remote
XLEPOHP,Leporong H Post,23-4-08,Y,O,Remote
XLORWHP,Lorwana H Post,23-3-10,Y,O,Remote
XRAILWC,Railway Clinic,08-3-09,Y,O,Remote
NYANTNW,NY Antenatal Ward,,Y,I,Local
NYFMEDW,NY Female Medical Ward,,Y,I,Local
NYFPSYW,NY Female Psychiatric Ward,,Y,I,Local
XMATSHC,Matshelagabedi Clinic,02-3-11,Y,O,Remote
NYFSURW,NY Female Surgical Ward,,Y,I,Local
NYGICUW,NY Intensive Care Unit,,Y,I,Local
NYGPSYW,NY Psychiatric Ward Seclusion,,Y,I,Local
NYGYNEW,NY Gynaecology Ward,,Y,I,Local
NYISOLW,NY Isolation Ward,,Y,I,Local
NYLABOW,NY Labour Ward,,Y,I,Local
NYMMEDW,NY Male Medical Ward,,Y,I,Local
NYMPSYW,NY Male Psychiatric Ward,,Y,I,Local
NYMSURW,NY Male Surgical Ward,,Y,I,Local
NYPAEMW,NY Paeds Medical Ward,,Y,I,Local
NYPAESW,NY Paeds Surgical Ward,,Y,I,Local
NYPOSNW,NY Post Natal Ward,,Y,I,Local
NYPRIVW,NY Private Ward,,Y,I,Local
NYSCBU,NY Special Care Baby Unit,,Y,I,Local
NYMORTW,NY Male Orthopaedic Ward,,N,I,Local
NYTBW,NY TB Ward,,Y,I,Local
XTONOTA,Tonota Clinic,NY,Y,O,Remote
XMATHAN,Mathangwane,FR,Y,O,Remote
XBOTSHEC,Botshelo Clinic,NY,Y,O,Remote
XMARAPO,Marapong,FR,Y,O,Remote
XSOWACL,Sowa,FR,Y,O,Remote
XMASUNG,Masunga,FR,Y,O,Remote
XFBDFCL,BDF Clinic Ftown,NY,Y,O,Remote
XBDFFC,BDF Clinic Francistown,16-3-01,Y,O,Remote
XBMCCLI,BMC Clinic,FR,Y,O,Remote
XPOLANI,Polani,FR,Y,O,Remote
XFPRISO,Prisons Clinic,16-3-04,Y,O,Remote
XMASUPH,Masunga Primary Hospital,2-2-1,Y,O,Remote
XMAKALC,Makaleng Clinic,02-3-01,Y,O,Remote
XMAPOKC,Mapoka Clinic,02-3-02,Y,O,Remote
XMASUNC,Masunga Clinic,02-3-03,Y,O,Remote
XMATSIL,Matsiloje Clinic,02-3-04,Y,O,Remote
XTSAMC,Tsamaya Clinic,02-3-05,Y,O,Remote
XSELKIC,Selkirk Clinic,02-3-06,Y,O,Remote
XSEKAKC,Sekakangwe Clinic,02-3-07,Y,O,Remote
XTATSIC,Tati Siding Clinic,02-3-08,Y,O,Remote
XTHEMAC,Themashanga Clinic,02-3-09,Y,O,Remote
XNLAPHC,Nlaphwane Clinic,02-3-10,Y,O,Remote
XRAMAKC,Ramakgwebana Clinic,02-3-12,Y,O,Remote
XMOROKC,Moroka Clinic,02-3-13,Y,O,Remote
XTSHEC,Tshesebe Clinic,02-3-14,Y,O,Remote
XGUNGHP,Gungwe Health Post,02-4-08,Y,O,Remote
XBUTALHP,Butale Health Post,02-4-01,Y,O,Remote
XGAMHP,Gambule Health Post,02-4-02,Y,O,Remote
XJACKAHP,Jackalas I Health Post,02-4-04,Y,O,Remote
XJACKHP,Jackalas II H Post,02-4-05,Y,O,Remote
XKALAKHP,Kalakamati Health Post,02-4-06,Y,O,Remote
XMBALAHP,Mbalambi Health Post,02-4-07,Y,O,Remote
XMOSOC,Mosojane Health Post,02-4-09,Y,O,Remote
XMATENHP,Matenge Helath Post,02-4-10,Y,O,Remote
XSECHEHP,Sechele Health Post,02-4-12,Y,O,Remote
XMATOHP,Matopi Health Post,02-4-13,Y,O,Remote
XSENYAHP,Senyawe Health Post,02-4-14,Y,O,Remote
XSIVIYHP,Siviya Health Post,02-4-15,Y,O,Remote
XPOLEHP,Pole Health Post,02-4-16,Y,O,Remote
XMASUKHP,Masukwane H Post,02-4-17,Y,O,Remote
XMABUDHP,Mabudzani Health Post,02-4-18,Y,O,Remote
XZWENSHP,Zwenshambe Health Post,02-4-19,Y,O,Remote
XDITLAHP,Ditladi Health Post,02-4-21,Y,O,Remote
XLETSHP,Letsholathebe H Post,02-4-23,Y,O,Remote
XMASINHP,Masingwaneng H Post,02-4-24,Y,O,Remote
XKGARIHP,Kgari Health Post,02-4-25,Y,O,Remote
XMULAMHP,Mulambakwena H Post,02-4-26,Y,O,Remote
XMAMBOHP,Mambo Health Post,02-4-27,Y,O,Remote
XMOWAHP,Mowana Health Post,02-4-28,Y,O,Remote
XTONOC,Tonota Clinic,25-3-01,Y,O,Remote
XTONOCOLC,Tonota College,25-3-03,Y,O,Remote
XBOROLHP,Borolong Helath Post,25-4-06,Y,O,Remote
XNATALHP,Natale Health Post,25-4-07,Y,O,Remote
XSHASHMHP,Shashe Mooke H Post,25-4-09,Y,O,Remote
XPALAPHNY,Palapye Primary Hosp NY,3-2-1,Y,O,Remote
XTSHWAR,Tshwaragano Clinic,16-3-03,Y,O,Remote
XTATTOW,Tatitown Clinic,16-3-08,Y,O,Remote
XBOTSAC,Botsalano Clinic,16-3-05,Y,O,Remote
XMASEGO,Masego Clinic,16-3-11,Y,O,Remote
XGERALC,Gerald Estate Clinic,FR,Y,O,Remote
XBOIKHU,Boikhutso Clinic,16-3-13,Y,O,Remote
XBOITC,Boitekanelo Clinic,FR,Y,O,Remote
XAERODR,Aerodrome,FR,Y,O,Remote
XMANYHP,Manyanda Health Post,25-4-03,Y,O,Remote
XNTSHEC,Ntshe Clinic,16-3-16,Y,O,Remote
XLAPOLO,Lapologang Clinic,16-3-07,Y,O,Remote
XTSHOLO,Tsholofelo,FR,Y,O,Remote
XAREASC,Area S Clinic,FR,Y,O,Remote
XAREALC,Area L Clinic,FR,Y,O,Remote
XBOTUSA,Botusa,FR,Y,O,Remote
XFIHS,Francistown IHS,FR,Y,O,Remote
XBOBOPH,Bobonong Primary Hospital,4-2,Y,O,Remote
NYPOPD,LAB Private Patient OPD,FR,Y,O,Local
XTUTUPH,Tutume Primary Hosp,12-2-01,Y,O,Remote
XNKANGC,Nkange Clinic,12-3-06,Y,O,Remote
XSEBINC,Sebina Clinic,12-3-07,Y,O,Remote
XSEPAKHP,Sepako Health post,18-11-2021,Y,O,Remote
XMMADPH,Mmadinare Primary Hospital,4-2,Y,O,Remote
XMATHAC,Mathathane Clinic,04-3-01,Y,O,Remote
XTHIIC,Thini Clinic,12-3-10,Y,O,Remote
XSELOHP,Selolwane Health Post,4-12-32,Y,O,Remote
XCHANGC,Changate Clinic,12-3-15,Y,O,Remote
XLEPASHP,Lepashe Health Post,12-4-05,Y,O,Remote
XSENETC,Senete Clinic,12-3-16,Y,O,Remote
XSEMOLC,Semolale Clinic,04-3-05,Y,O,Remote
XNSWAZC,Nswazwi Clinic,12-3-17,Y,O,Remote
XTSETSC,Tsetsejwe Clinic,04-3-06,Y,O,Remote
